,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
0,Voto Anticipado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Voto en Prisión Preventiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Sección 372,103,161,34,222,140,277,2763,26,4,0,2,221,13,44,34,7,110,4161
3,Sección 391,45,29,4,36,21,50,565,6,3,1,0,45,3,7,8,1,17,841
4,Sección 392,76,67,7,48,35,85,736,16,1,1,1,68,5,8,9,5,21,1189
5,Sección 397,31,35,6,52,33,64,610,4,7,2,0,56,3,8,18,1,10,940
6,Sección 398,197,148,22,123,79,239,1910,35,10,0,1,173,11,30,30,8,50,3066
7,Sección 399,39,38,23,222,12,29,225,6,2,2,7,19,1,8,6,2,8,649
8,Sección 400,14,39,4,27,18,51,458,6,0,1,0,54,2,5,5,2,14,700
9,Sección 406,37,30,6,35,22,47,356,7,1,1,0,47,1,12,10,1,9,622
10,Sección 407,39,55,11,36,9,41,466,2,0,3,1,45,3,8,6,1,16,742
11,Sección 408,14,25,1,17,11,27,168,0,0,0,0,19,1,4,1,0,3,291
12,Sección 409,19,46,4,40,19,51,568,2,0,0,0,25,0,4,5,1,18,802
13,Sección 410,72,58,19,80,43,112,1109,50,11,0,0,83,6,39,28,2,37,1749
14,Sección 411,45,42,14,36,17,45,625,5,0,0,0,54,3,7,8,0,14,915
15,Sección 412,23,27,7,29,12,36,442,2,0,0,0,17,0,12,1,1,10,619
16,Sección 413,20,27,8,36,25,43,407,6,1,0,0,59,9,8,10,1,3,663
17,Sección 414,18,27,10,32,23,49,488,2,2,1,1,35,3,6,5,2,11,715
18,Sección 415,375,224,38,131,60,181,1406,63,3,3,2,110,3,14,18,5,27,2663
19,Sección 417,72,42,11,19,17,48,368,14,1,0,0,27,1,4,2,3,10,639
20,Sección 418,249,145,21,90,42,181,1248,44,8,1,0,100,5,10,22,2,28,2196
21,Sección 452,670,317,62,185,110,336,2569,95,8,3,1,199,16,36,30,3,82,4722
22,Sección 453,49,38,7,37,45,58,826,4,2,0,2,51,8,11,16,2,19,1175
23,Sección 458,16,35,8,59,38,41,1184,5,2,0,0,81,7,26,11,1,18,1532
24,Sección 459,0,5,4,9,3,4,66,0,0,0,1,3,0,1,0,0,4,100
25,Sección 460,10,35,12,65,41,60,931,0,2,0,0,61,16,18,10,1,29,1291
26,Sección 461,8,30,9,60,9,28,506,1,1,1,2,19,3,12,3,0,8,700
27,Sección 462,11,43,17,79,41,45,1212,3,1,0,0,86,7,19,11,3,31,1609
28,Sección 463,20,36,21,82,80,67,1560,7,2,1,0,97,8,16,27,7,29,2060
29,Sección 465,33,58,8,61,52,115,1315,51,1,0,0,106,2,12,15,0,43,1872
30,Sección 468,13,32,6,53,7,51,799,4,2,0,0,56,2,6,4,1,26,1062
31,Sección 469,6,22,10,89,23,43,1059,2,0,0,0,20,19,28,13,1,27,1362
32,Sección 470,223,175,44,169,90,268,1953,40,5,1,0,178,17,39,29,7,51,3289
33,Sección 475,11,16,5,84,34,31,699,2,0,0,0,18,0,22,4,14,49,989
34,Sección 476,81,84,14,133,83,165,1790,12,6,1,0,113,10,48,29,3,64,2636
35,Sección 477,29,61,12,138,46,77,1346,2,0,0,0,83,12,36,23,0,45,1910
36,Sección 479,149,137,32,114,50,151,1029,23,5,1,0,87,13,25,13,4,28,1861
37,Sección 480,179,175,23,163,86,194,1776,30,10,0,4,151,16,36,31,0,31,2905
38,Sección 481,41,55,15,80,48,106,1211,7,2,1,0,70,1,9,4,0,34,1684
39,Sección 482,23,22,12,43,31,60,654,1,1,0,0,76,2,13,8,0,13,959
40,Sección 484,107,95,12,100,67,195,1506,13,2,1,0,97,4,17,16,8,42,2282
41,Sección 485,32,50,7,85,33,87,771,10,3,0,0,70,2,12,5,0,24,1191
42,Sección 486,209,172,33,136,135,287,2549,26,7,0,1,201,2,37,27,7,54,3883
43,Sección 487,60,70,8,36,43,101,817,12,2,0,1,44,0,5,7,0,14,1220
44,Sección 488,7,11,0,13,23,24,297,1,0,0,0,54,0,0,0,1,8,439
45,Sección 489,19,38,12,84,38,54,660,1,0,0,0,49,0,0,0,1,30,986
46,Sección 490,35,28,4,65,31,47,757,5,4,0,0,33,4,17,12,1,14,1057
47,Sección 491,5,12,6,37,24,25,287,0,1,0,0,17,2,1,1,0,16,434
48,Sección 492,24,60,15,65,35,62,858,5,4,8,8,35,3,25,17,4,43,1271
49,Sección 493,6,18,10,28,22,34,496,2,0,0,0,28,24,0,0,0,12,680
50,Sección 494,57,83,38,121,73,164,1571,13,1,17,3,92,8,27,21,3,66,2358
51,Sección 495,20,59,12,84,65,47,1251,12,0,0,1,83,8,19,9,0,98,1768
52,Sección 496,10,33,12,46,19,25,512,2,1,0,1,39,3,11,1,0,15,730
53,Sección 497,20,51,36,83,47,55,907,5,8,8,1,60,7,21,14,4,33,1360
54,Sección 498,10,42,27,88,37,62,648,7,1,1,2,73,11,19,12,0,62,1102
55,Sección 499,7,13,5,50,10,12,255,1,1,0,0,15,4,6,2,0,10,391
56,Sección 501,13,27,5,43,31,40,726,7,1,0,2,90,7,12,9,1,33,1047
57,Sección 503,34,59,14,78,58,71,1132,8,2,0,0,62,0,7,8,2,25,1560
58,Sección 504,7,17,3,15,9,18,287,0,2,0,0,18,0,6,6,0,5,393
59,Sección 505,5,19,11,22,23,31,561,2,0,0,0,36,4,10,8,0,27,759
60,Sección 507,7,26,8,42,16,13,495,3,1,1,0,23,1,14,3,1,21,675
61,Sección 508,2,4,0,24,11,6,228,0,0,0,0,17,2,6,2,0,5,307
62,Sección 509,1,5,3,48,24,8,228,0,0,0,0,41,0,0,3,0,5,366
63,Sección 510,8,5,9,21,9,17,232,0,0,0,0,19,0,0,0,0,10,330
64,Sección 781,40,73,16,145,242,88,791,6,0,0,0,33,4,10,10,1,24,1483
65,Sección 782,65,70,22,95,162,80,622,14,0,0,0,30,2,2,11,1,27,1203
66,Sección 783,48,52,9,107,111,38,425,9,3,0,0,29,8,0,12,0,7,858
67,Sección 784,3,18,3,40,28,13,186,1,0,0,0,2,1,4,2,0,9,310
68,Sección 785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Sección 786,13,10,3,70,33,24,224,0,0,0,0,2,0,0,0,0,0,379
70,Sección 787,2,15,4,112,56,31,263,2,2,0,0,7,1,0,3,0,39,537
71,Sección 788,3,5,1,35,5,6,177,1,0,0,0,11,0,0,0,0,12,256
72,Sección 789,30,32,6,98,181,53,576,3,1,0,1,23,3,11,9,0,14,1041
73,Sección 790,0,1,1,20,22,4,65,0,0,0,0,1,0,1,0,1,3,119
74,Sección 791,2,8,2,43,40,12,150,0,0,0,0,12,2,1,4,0,1,277
75,Sección 792,34,37,8,185,114,52,532,2,1,0,0,20,6,15,10,0,21,1037
76,Sección 793,7,8,2,60,84,14,217,0,0,0,0,10,3,1,0,0,6,412
77,Sección 794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Sección 795,6,10,7,30,70,12,217,2,0,0,0,6,0,7,7,0,5,379
79,Sección 796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Sección 797,0,1,0,1,5,1,44,1,0,0,0,2,1,0,1,0,1,58
81,Sección 798,24,39,9,142,144,64,610,3,0,1,0,11,3,4,9,0,23,1086
82,Sección 799,7,8,7,132,79,26,300,0,0,0,0,8,6,6,3,0,30,612
83,Sección 800,19,36,9,124,155,55,757,4,2,0,0,23,3,11,6,1,23,1228
84,Sección 801,16,25,5,149,223,35,353,0,0,0,0,12,0,3,3,1,40,865
85,Sección 802,9,10,2,226,154,43,340,1,0,0,0,15,6,8,8,0,16,838
86,Sección 803,11,14,4,102,123,25,343,0,0,0,0,16,2,8,2,0,10,660
87,Sección 804,12,29,9,144,111,25,347,2,1,0,0,7,4,11,8,0,18,728
88,Sección 805,0,0,0,33,24,5,102,0,0,0,0,5,1,2,3,0,2,177
89,Sección 806,6,8,6,99,160,22,285,1,0,0,0,13,3,2,2,0,10,617
90,Sección 807,11,15,7,55,16,24,174,0,0,0,0,4,2,5,1,0,10,324
